EU- und EFTA-Staaten;Frauenanteil bei den Studierenden im Tertiärbereich 1;Erwerbstätigenquote von Frauen;Geschlechtsspezifisches Verdienstgefälle in Industrie, Baugewerbe und Dienstleistungen 2;Frauenanteil in nationalen Parlamenten
Schweiz;49.7;72.5;18.4;29.5
Belgien;54.8;56.5;;39.3
Bulgarien;55.6;56.4;15.3;20.8
Tschechische Republik;56.5;56.3;25.9;22
Dänemark;58.2;71.1;16.8;39.1
Deutschland;51.4;66.1;23.2;32.8
Estland;61.9;60.6;;19.8
Irland;53.9;56;12.6;15.1
Griechenland;;48.1;;17.3
Spanien;54.1;52.3;16.7;36.6
Frankreich;55.2;59.7;16;18.9
Italien;57.7;46.1;5.5;21.3
Zypern;46.8;63;21;10.7
Lettland;63.7;59.4;14.9;21
Litauen;59.2;58.7;15.3;19.1
Luxemburg;;57.2;12.5;20
Ungarn;56.8;50.6;17.1;9.1
Malta;56.5;39.3;6.9;8.7
Niederlande;51.8;69.3;19.2;39.3
Österreich;53.2;66.4;25.4;27.9
Polen;57.9;53;9.8;24
Portugal;53.4;61.1;10;26.5
Rumänien;56.3;52;8.1;11.4
Slowenien;58;62.6;3.2;14.4
Slowakei;60.5;52.3;21.9;16
Finnland;54;66.9;20.4;42.5
Schweden;60.1;70.3;16;45
Vereinigtes Königreich;57;64.6;20.4;22
