EU- und EFTA-Staaten;Frauenanteil bei den Studierenden im Tertiärbereich 1;Erwerbstätigenquote von Frauen;Teilzeitbeschäftigte Frauen;Geschlechts-spezifisches Verdienstgefälle in Industrie, Baugewerbe und Dienstleistungen 2;Frauenanteil in nationalen Parlamenten
Schweiz;49.8;76.3;61.7;;41.5
Belgien;55.6;61.7;41;5.8;41.33
Bulgarien;53.7;66;2.1;13.9;26.67
Tschechien;57.1;68.1;10.6;20.1;22.5
Dänemark;56.5;72;33.9;14.6;39.66
Deutschland;48.8;72.8;46.7;20.1;31.17
Estland;58.7;71.9;15.9;21.8;28.71
Irland;52;64.2;30.6;;22.5
Griechenland;48.7;47.3;13.5;;21.67
Spanien;53.6;57.9;23.7;11.9;44
Frankreich;54.5;62.4;28;15.8;39.51
Kroatien;57;57.1;6.7;10.5;31.13
Italien;55.5;50.1;32.9;;35.71
Zypern;53.1;65.2;14.6;10.4;19.64
Lettland;58.1;70.7;10.9;19.6;30
Litauen;56.4;72.5;8;14;20.57
Luxemburg;51.9;63.6;30.4;1.4;30
Ungarn;53.9;63;6.8;12.2;12.06
Malta;55.9;62.8;21.4;13;13.43
Niederlande;52.1;74.1;75.2;14.7;33.33
Österreich;52.9;69.2;47.1;20.4;39.34
Polen;59.3;61.1;9.3;8.5;28.7
Portugal;53.5;67.6;10.9;8.9;40
Rumänien;54.2;56.8;6.2;2.2;21.88
Slowenien;57.5;68.6;12.7;9.3;27.78
Slowakei;59;62.4;6.5;19.8;22.67
Finnland;53.1;71.8;21.3;17.1;46
Schweden;60.1;75.4;32.5;12.1;46.99
Vereinigtes Königreich;56.8;71.1;39.4;19.8;33.85
Island;63.6;81.9;34.1;13.7;38.1
Liechtenstein;35.8;;;;12
Norwegen;58.1;73.1;37.7;14;41.42
